gamma,seed,frequency
-0.00019999999999999998 ,1 ,0.2 
-0.00019999999999999998 ,11112 ,0.2 
-0.00019999999999999998 ,22223 ,0.2 
-0.00019999999999999998 ,33334 ,0.2 
-0.00019999999999999998 ,44445 ,0.2 
-0.00019999999999999998 ,55556 ,0.2 
-0.00019999999999999998 ,66667 ,0.2 
-0.00019999999999999998 ,77778 ,0.2 
-0.00019999999999999998 ,88889 ,0.2 
-0.00019999999999999998 ,100000 ,0.2 
-0.000175 ,1 ,0.4 
-0.000175 ,11112 ,0.4 
-0.000175 ,22223 ,0.4 
-0.000175 ,33334 ,0.4 
-0.000175 ,44445 ,0.4 
-0.000175 ,55556 ,0.4 
-0.000175 ,66667 ,0.4 
-0.000175 ,77778 ,0.4 
-0.000175 ,88889 ,0.4 
-0.000175 ,100000 ,0.4 
-0.00015 ,1 ,0.6 
-0.00015 ,11112 ,0.6 
-0.00015 ,22223 ,0.6 
-0.00015 ,33334 ,0.6 
-0.00015 ,44445 ,0.6 
-0.00015 ,55556 ,0.6 
-0.00015 ,66667 ,0.6 
-0.00015 ,77778 ,0.6 
-0.00015 ,88889 ,0.6 
-0.00015 ,100000 ,0.6 
-0.000125 ,1 ,0.8 
-0.000125 ,11112 ,0.8 
-0.000125 ,22223 ,0.8 
-0.000125 ,33334 ,0.8 
-0.000125 ,44445 ,0.8 
-0.000125 ,55556 ,0.8 
-0.000125 ,66667 ,0.8 
-0.000125 ,77778 ,0.8 
-0.000125 ,88889 ,0.8 
-0.000125 ,100000 ,0.8 
-9.999999999999999e-05 ,1 ,0.6 
-9.999999999999999e-05 ,11112 ,0.6 
-9.999999999999999e-05 ,22223 ,0.6 
-9.999999999999999e-05 ,33334 ,0.6 
-9.999999999999999e-05 ,44445 ,0.6 
-9.999999999999999e-05 ,55556 ,0.6 
-9.999999999999999e-05 ,66667 ,0.6 
-9.999999999999999e-05 ,77778 ,0.6 
-9.999999999999999e-05 ,88889 ,0.6 
-9.999999999999999e-05 ,100000 ,0.6 
-7.5e-05 ,1 ,0.6 
-7.5e-05 ,11112 ,0.6 
-7.5e-05 ,22223 ,0.6 
-7.5e-05 ,33334 ,0.6 
-7.5e-05 ,44445 ,0.6 
-7.5e-05 ,55556 ,0.6 
-7.5e-05 ,66667 ,0.6 
-7.5e-05 ,77778 ,0.6 
-7.5e-05 ,88889 ,0.6 
-7.5e-05 ,100000 ,0.6 
-4.9999999999999996e-05 ,1 ,0.4 
-4.9999999999999996e-05 ,11112 ,0.4 
-4.9999999999999996e-05 ,22223 ,0.4 
